Label,Depth,Velocity,Roughness,ForkLength,Mass,Temperature,Turbidity,DriftFile,Notes
1,11,30,,,,,,,Column A is an arbitrary index number (or text label) of the point to be processed
2,64,8,,,,,,,Column B is the depth at that point (cm)
3,76,89,,,,,,,Column C is the velocity at that point (cm/s)
4,123,8,,,,,,,Column D is bed roughness height (cm) for a log velocity profile
5,78,72,,,,,,,Column E is fork length (cm); is ignored unless mass is also specified
6,162,2,,,,,,,Column F is mass (g); is ignored unless fork length is also specified
7,36,60,,,,,,,Column G is for temperature in degrees C
8,137,34,,,,,,,Column H is turbidity in NTU
9,115,93,,,,,,,Column I is the address for the drift density CSV file
10,60,67,,,,,,,"Columns D-I are optional, but don't delete the columns or their headers; just leave the cells blank if you don't want to specify them"
11,158,91,,,,,,,"If you leave an optional column blank, it will default to the values specified on the Model Settings tab"
12,101,79,,,,,,,
13,124,30,,,,,,,
14,147,79,,,,,,,
15,172,2,,,,,,,
16,50,99,,,,,,,
17,129,92,,,,,,,
18,160,16,,,,,,,
19,185,8,,,,,,,
20,135,17,,,,,,,
