Label,Min Length,Max Length,Drift Density,a,b,Energy density,dryMass
1 mm class,0.5,1.5,29.9786467,,,,,Values beyond column H are ignored and can be used for notes.
2 mm class,1.51,2.5,8.776892816,,,,,"Not every prey type has to represent a size class. You can use multiple rows for taxa of the same size with different regression parameters, for example."
3 mm class,2.51,3.5,2.560432507,,,,,"The 'a' and 'b' values in columns E and F are for the body length-dry mass regression W = a L^b, with L in mm and W in mg"
4 mm class,3.51,4.5,0.925131738,,,,,"When they are left blank, default parameters for 'All Insects' from Benke et al 1999 are used."
5 mm class,4.51,5.5,0.116307308,,,,,"Energy density is given in calories per gram dry weight. When it is left blank, a default of 5200 is used (Rosenfeld and Taylor 2009)."
6 mm class,5.51,6.5,0.02554631,,,,,"In this example, we have separate prey types for Chironomid larvae in the two smallest size classes versus other taxa."
7 mm class,6.51,7.5,0.029497147,,,,,Drift density is the number of drifting prey items in that category per cubic meter of water
8 mm class,7.51,8.5,0.006932737,,,,,The 'label' can be whatever you want
9 mm class,8.51,9.5,0,,,,,,
10 mm class,9.51,10.5,0.012906689,,,,,
11 mm class,10.51,11.5,0,,,,
12 mm class,11.51,12.5,0.002285548,,,,,
